TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionMonth,TransactionDayOfWeek,TransactionYear,LoginAttempts_Bin
14.09,0,36,0,70,0,81,1,5112.21,4,1,2023,0
376.24,0,15,0,68,0,141,1,13758.91,6,1,2023,0
126.29,0,23,2,19,3,56,1,1122.35,7,0,2023,0
184.5,0,33,2,26,3,25,1,8569.06,5,4,2023,0
13.45,1,1,2,26,3,198,1,7429.4,10,0,2023,0
92.15,0,28,0,18,3,172,1,781.68,4,0,2023,0
7.08,1,39,0,37,0,139,1,13316.71,2,2,2023,0
171.42,1,16,1,67,2,291,1,2796.24,5,0,2023,0
106.23,1,11,1,51,1,86,1,9095.14,3,1,2023,0
815.96,0,26,0,55,0,120,1,1021.88,3,4,2023,0
17.78,1,0,2,52,1,59,1,7599.52,3,1,2023,0
190.02,0,22,2,21,3,173,1,1528.81,2,0,2023,0
494.52,1,23,1,24,3,111,1,1620.02,6,2,2023,0
781.76,0,22,0,26,3,123,1,189.69,11,0,2023,0
166.99,0,21,2,18,3,134,1,299.93,2,0,2023,0
465.45,0,10,0,36,1,129,1,3465.54,12,1,2023,0
555.8,1,2,1,19,3,158,1,1131.26,10,0,2023,0
492.93,0,8,2,39,1,234,1,5109.97,12,3,2023,0
18.68,1,0,1,59,2,106,1,7948.37,2,1,2023,0
71.48,1,8,2,18,3,169,1,6568.59,6,3,2023,0
59.32,0,20,1,71,2,38,1,5750.89,2,1,2023,0
85.77,0,19,1,38,0,93,1,9146.19,8,4,2023,0
52.2,0,1,2,39,1,120,1,8974.93,6,1,2023,0
345.84,0,13,2,22,3,142,3,1402.5,5,1,2023,1
145.54,0,33,2,21,3,96,1,1930.96,3,3,2023,0
7.49,1,15,2,65,2,276,1,3634.67,10,4,2023,0
246.93,0,24,0,23,3,158,5,673.35,4,0,2023,1
40.32,0,25,1,37,1,95,1,2686.52,3,2,2023,0
127.45,0,19,2,44,0,197,1,1772.06,1,1,2023,0
56.17,0,11,1,27,3,283,1,1351.69,9,2,2023,0
28.31,1,24,2,59,0,20,1,8334.47,7,0,2023,0
59.12,0,3,0,29,0,257,1,9823.64,2,0,2023,0
396.45,0,27,0,49,1,168,3,9690.15,9,0,2023,1
877.81,0,20,2,22,3,150,1,399.0,3,0,2023,0
255.26,1,37,1,45,0,50,1,14815.87,10,4,2023,0
124.76,0,39,1,49,1,45,1,5764.72,10,0,2023,0
78.13,0,25,1,26,3,145,1,900.61,11,1,2023,0
649.28,0,38,0,75,2,137,1,4875.86,3,3,2023,0
795.31,0,23,0,66,0,90,2,7914.88,10,3,2023,1
335.63,0,28,2,55,2,216,1,1019.39,1,1,2023,0
328.47,0,35,0,63,2,119,1,4323.66,7,0,2023,0
34.02,0,30,2,38,0,19,1,14214.48,1,0,2023,0
241.42,1,5,2,57,0,116,1,13357.02,4,3,2023,0
55.32,0,40,0,19,3,117,1,241.79,4,2,2023,0
304.31,0,21,1,27,3,33,1,868.61,7,2,2023,0
435.27,0,6,1,74,2,90,1,4673.28,10,2,2023,0
164.49,0,3,1,26,3,75,1,1509.27,12,2,2023,0
510.24,0,28,2,19,3,105,1,781.7,10,0,2023,0
626.9,0,10,2,26,3,138,1,265.51,11,0,2023,0
22.01,1,34,2,41,1,175,1,1335.09,3,0,2023,0
425.34,1,18,2,69,2,121,1,3907.54,2,0,2023,0
424.56,0,29,2,51,1,264,1,5183.85,2,1,2023,0
85.43,0,41,1,67,0,145,1,14904.9,6,2,2023,0
169.5,0,36,1,28,3,142,1,918.88,9,3,2023,0
104.63,0,29,0,62,2,90,1,4477.78,3,2,2023,0
316.95,0,23,1,25,3,83,1,1324.03,8,4,2023,0
60.54,1,8,1,57,2,52,1,3534.93,12,3,2023,0
292.56,1,9,1,68,2,61,1,4638.37,3,4,2023,0
386.52,0,16,1,48,1,28,1,5630.61,6,4,2023,0
112.07,0,18,1,23,3,51,1,930.3,10,0,2023,0
568.52,0,16,0,46,1,152,1,5499.91,10,4,2023,0
263.99,0,9,1,79,2,227,2,4175.02,5,1,2023,1
349.64,0,19,2,48,1,226,1,6651.62,11,1,2023,0
601.4,1,30,1,56,1,104,1,8458.29,5,1,2023,0
5.77,0,5,2,50,0,124,1,13988.12,11,3,2023,0
201.33,1,26,1,42,1,186,1,2585.07,3,2,2023,0
298.42,0,16,1,56,2,225,1,3014.75,4,1,2023,0
521.06,0,0,1,25,3,128,1,1951.42,4,1,2023,0
117.28,1,2,2,60,1,16,1,3665.77,2,3,2023,0
189.12,1,16,1,32,1,103,1,977.01,11,0,2023,0
133.55,0,1,0,44,1,220,1,3846.28,7,1,2023,0
143.21,0,9,2,35,1,135,1,6374.82,1,4,2023,0
24.77,0,4,0,62,2,55,1,5866.01,7,1,2023,0
233.92,1,17,2,26,3,280,1,6537.62,10,4,2023,0
899.71625,0,16,1,20,3,24,1,605.95,10,2,2023,0
232.12,0,29,0,37,1,51,1,6689.87,12,3,2023,0
162.63,0,18,2,22,3,113,1,634.17,6,0,2023,0
91.53,0,25,1,44,0,69,1,14676.05,3,0,2023,0
120.29,0,24,1,19,3,77,1,1362.39,12,0,2023,0
174.25,0,39,2,50,0,67,1,10528.34,7,0,2023,0
183.71,0,10,0,38,1,102,1,552.52,6,0,2023,0
345.39,1,31,2,58,1,80,1,6451.96,10,0,2023,0
899.71625,0,11,0,63,2,87,1,4715.84,1,0,2023,0
259.91,0,10,2,49,0,170,1,7176.86,11,0,2023,0
154.71,0,36,2,34,0,157,1,1523.72,7,0,2023,0
899.71625,1,2,2,54,1,30,1,8654.28,9,4,2023,0
24.56,0,23,1,64,0,69,1,9869.93,10,4,2023,0
568.07,0,42,0,48,0,115,1,10556.81,8,0,2023,0
9.61,1,36,2,58,0,179,1,12883.91,6,3,2023,0
392.96,0,18,2,24,3,100,1,791.65,11,0,2023,0
716.93,1,25,2,60,2,34,1,4064.02,9,3,2023,0
223.85,0,18,0,53,1,55,4,2929.91,10,0,2023,1
230.66,0,15,1,21,3,135,1,618.05,3,0,2023,0
442.12,0,20,2,19,3,260,1,1375.8,12,3,2023,0
644.17,0,35,0,29,1,72,1,1143.52,3,3,2023,0
508.68,1,23,1,51,1,127,1,7708.41,6,0,2023,0
858.63,1,37,1,27,3,185,1,1872.96,4,1,2023,0
25.36,0,21,0,57,1,78,1,201.04,7,0,2023,0
147.62,0,5,1,71,2,133,1,2115.8,9,4,2023,0
115.02,0,35,1,37,0,175,1,7643.66,9,0,2023,0
383.37,0,13,1,30,1,24,1,8901.93,1,1,2023,0
98.54,1,12,2,20,3,167,1,9383.43,8,4,2023,0
83.24,1,13,1,55,0,164,1,1181.31,10,0,2023,0
196.16,0,41,1,27,1,146,1,9418.86,2,4,2023,0
129.94,0,19,0,32,1,235,1,7954.92,1,0,2023,0
306.9,0,7,2,46,1,51,1,9418.08,11,3,2023,0
114.98,0,39,2,59,2,80,1,6144.68,11,2,2023,0
756.59,0,34,1,27,3,17,1,420.65,3,0,2023,0
503.76,0,20,2,22,3,35,1,447.82,11,0,2023,0
143.03,0,35,0,63,2,147,1,7981.45,7,0,2023,0
899.71625,0,8,0,53,2,73,1,1829.9,11,2,2023,0
245.54,0,27,0,25,3,180,1,985.06,3,1,2023,0
254.37,1,9,2,51,1,174,1,8849.26,4,3,2023,0
213.76,1,9,0,78,2,282,1,3528.72,3,2,2023,0
327.86,0,14,2,40,1,104,1,480.16,2,4,2023,0
2.5,0,36,2,47,0,107,1,12145.27,7,4,2023,0
300.08,1,2,2,68,0,47,1,13546.75,10,0,2023,0
56.98,1,28,0,43,1,122,2,5688.37,1,0,2024,1
407.65,0,4,2,26,1,62,1,8346.64,7,4,2023,0
115.83,0,14,1,39,1,167,1,6481.04,5,0,2023,0
53.57,0,15,0,69,2,121,1,1651.33,8,2,2023,0
63.34,1,11,2,46,0,165,1,11174.94,11,4,2023,0
317.87,0,11,2,27,3,91,1,145.5,5,0,2023,0
331.65,0,32,2,41,1,61,1,4172.57,8,4,2023,0
5.04,0,42,0,56,2,41,1,5558.36,11,0,2023,0
214.54,1,11,2,70,0,247,1,11151.53,8,4,2023,0
598.81,0,30,1,57,0,158,1,1415.52,9,0,2023,0
841.28,0,40,2,26,3,80,1,1103.64,8,2,2023,0
38.15,0,23,2,26,3,108,1,303.68,9,3,2023,0
899.71625,0,35,1,58,0,144,1,5541.57,7,1,2023,0
124.72,0,28,1,33,1,105,1,6309.8,7,0,2023,0
302.45,1,35,1,78,2,40,1,5133.61,9,0,2023,0
208.04,0,21,2,47,1,273,1,9344.98,11,0,2023,0
5.77,1,20,1,23,3,254,1,1117.97,11,4,2023,0
381.33,0,0,0,56,0,75,1,11835.35,8,0,2023,0
16.16,0,25,0,50,0,124,1,14401.17,10,0,2023,0
486.08,0,28,2,18,3,68,1,1748.69,6,1,2023,0
336.39,0,35,1,21,3,18,1,1000.46,1,0,2023,0
899.71625,0,39,2,69,0,118,1,6810.05,11,2,2023,0
234.57,0,6,2,23,3,120,1,263.98,9,4,2023,0
6.0,0,6,2,30,0,246,1,5442.76,10,0,2023,0
899.71625,0,11,0,80,2,21,1,2037.85,10,0,2023,0
